feature,importance
perimeter3,0.6464006956948695
concave_points3,0.11459878875643217
concave_points1,0.0851333621719099
texture3,0.0671318564026958
area2,0.04610897314255648
compactness2,0.016196638172236703
radius2,0.012939690803090284
concave_points2,0.011489994856209294
area1,0.0
smoothness1,0.0
compactness1,0.0
perimeter1,0.0
radius1,0.0
texture1,0.0
perimeter2,0.0
texture2,0.0
symmetry1,0.0
fractal_dimension1,0.0
concavity1,0.0
symmetry2,0.0
concavity2,0.0
smoothness2,0.0
radius3,0.0
fractal_dimension2,0.0
smoothness3,0.0
area3,0.0
compactness3,0.0
concavity3,0.0
symmetry3,0.0
fractal_dimension3,0.0
